country,fullName,id,nationalPoliticalGroup,politicalGroup
France,Nadine MORANO,72779,Les Républicains,Group of the European People's Party (Christian Democrats)
Italy,Luigi MORGANO,124788,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
France,Elisabeth MORIN-CHARTIER,38596,Les Républicains,Group of the European People's Party (Christian Democrats)
Hungary,Krisztina MORVAI,96661,Jobbik Magyarországért Mozgalom,Non-attached Members
Italy,Alessia Maria MOSCA,124868,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Ulrike MÜLLER,124862,Freie Wähler,Group of the Alliance of Liberals and Democrats for Europe
Romania,Siegfried MUREŞAN,124802,Partidul Mișcarea Populară,Group of the European People's Party (Christian Democrats)
France,Renaud MUSELIER,124729,Les Républicains,Group of the European People's Party (Christian Democrats)
Italy,Alessandra MUSSOLINI,28429,Forza Italia,Group of the European People's Party (Christian Democrats)
Slovakia,József NAGY,124926,MOST - HÍD,Group of the European People's Party (Christian Democrats)
Spain,Javier NART,125005,Ciudadanos – Partido de la Ciudadanía,Group of the Alliance of Liberals and Democrats for Europe
Romania,Victor NEGRESCU,88882,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Bulgaria,Momchil NEKOV,125013,Bulgarian Socialist Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Norbert NEUSER,96844,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Dan NICA,124784,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,James NICHOLSON,1318,Ulster Unionist Party,European Conservatives and Reformists Group
Romania,Norica NICOLAI,96825,Independent,Group of the Alliance of Liberals and Democrats for Europe
Germany,Angelika NIEBLER,4289,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats)
Czech Republic,Luděk NIEDERMAYER,124701,TOP 09 a Starostové,Group of the European People's Party (Christian Democrats)
Hungary,Péter NIEDERMÜLLER,124723,Demokratikus Koalíció,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Netherlands,Cora van NIEUWENHUIZEN,125019,Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe
Sweden,Jens NILSSON,111024,Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Ireland,Liadh NÍ RIADA,124987,Sinn Féin,Confederal Group of the European United Left - Nordic Green Left
Netherlands,Lambert van NISTELROOIJ,28165,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats)
Germany,Maria NOICHL,124836,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Bulgaria,Andrey NOVAKOV,107212,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats)
United Kingdom,Paul NUTTALL,96805,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Austria,Franz OBERMAYR,96981,Freiheitliche Partei Österreichs,Europe of Nations and Freedom Group
United Kingdom,Patrick O'FLYNN,124940,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Poland,Jan OLBRYCHT,28288,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
France,Younous OMARJEE,30482,L'union pour les Outremer,Confederal Group of the European United Left - Nordic Green Left
Poland,Stanisław OŻÓG,124897,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Latvia,Artis PABRIKS,124743,"Partija ""VIENOTĪBA""",Group of the European People's Party (Christian Democrats)
Estonia,Urmas PAET,129073,Eesti Reformierakond,Group of the Alliance of Liberals and Democrats for Europe
Spain,Maite PAGAZAURTUNDÚA RUIZ,125038,"Unión, Progreso y Democracia",Group of the Alliance of Liberals and Democrats for Europe
Lithuania,Rolandas PAKSAS,96694,Partija Tvarka ir teisingumas,Europe of Freedom and Direct Democracy Group
Italy,Pier Antonio PANZERI,28365,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Massimo PAOLUCCI,124849,Articolo UNO – Movimento Democratico e Progressista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Cyprus,Demetris PAPADAKIS,124692,Movement for Social Democracy EDEK,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Greece,Konstantinos PAPADAKIS,125093,Communist Party of Greece,Non-attached Members
Greece,Dimitrios PAPADIMOULIS,28586,Coalition of the Radical Left,Confederal Group of the European United Left - Nordic Green Left
France,Gilles PARGNEAUX,96948,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Margot PARKER,124945,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Romania,Ioan Mircea PAŞCU,33984,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Aldo PATRICIELLO,36392,Forza Italia,Group of the European People's Party (Christian Democrats)
Romania,Emilian PAVEL,129256,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Piernicola PEDICINI,124844,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
France,Vincent PEILLON,28166,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Slovenia,Alojz PETERLE,23693,Nova Slovenija – Krščanski demokrati,Group of the European People's Party (Christian Democrats)
Denmark,Morten Helveg PETERSEN,124872,Det Radikale Venstre,Group of the Alliance of Liberals and Democrats for Europe
Croatia,Marijana PETIR,124749,Hrvatska seljačka stranka,Group of the European People's Party (Christian Democrats)
France,Florian PHILIPPOT,110977,Front national,Europe of Nations and Freedom Group
Italy,Pina PICIERNO,124846,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Croatia,Tonino PICULA,112744,Socijaldemokratska partija Hrvatske,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Poland,Bolesław G. PIECHA,124874,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Germany,Markus PIEPER,28224,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Finland,Sirpa PIETIKÄINEN,40599,Kansallinen Kokoomus,Group of the European People's Party (Christian Democrats)
Portugal,João PIMENTA LOPES,136236,Partido Comunista Português,Confederal Group of the European United Left - Nordic Green Left
Poland,Mirosław PIOTROWSKI,28341,Niezależny,European Conservatives and Reformists Group
Netherlands,Kati PIRI,37229,Partij van de Arbeid,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Bulgaria,Georgi PIRINSKI,124855,Bulgarian Socialist Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Poland,Julia PITERA,124898,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
Italy,Gianni PITTELLA,4436,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Poland,Marek PLURA,124881,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
Czech Republic,Pavel POC,96715,Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Czech Republic,Miroslav POCHE,124699,Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Salvatore Domenico POGLIESE,124853,Forza Italia,Group of the European People's Party (Christian Democrats)
Czech Republic,Stanislav POLČÁK,124704,Starostové a nezávisli,Group of the European People's Party (Christian Democrats)
France,Maurice PONGA,96931,Les Républicains,Group of the European People's Party (Christian Democrats)
Poland,Tomasz Piotr PORĘBA,96801,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Czech Republic,Jiří POSPÍŠIL,125706,TOP 09 a Starostové,Group of the European People's Party (Christian Democrats)
Sweden,Soraya POST,124997,Feministiskt initiativ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Cristian Dan PREDA,96838,Independent,Group of the European People's Party (Christian Democrats)
Germany,Marcus PRETZELL,124830,Alternative für Deutschland,Europe of Nations and Freedom Group
Germany,Gabriele PREUSS,124888,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,John PROCTER,185628,Conservative Party,European Conservatives and Reformists Group
France,Franck PROUST,108080,Les Républicains,Group of the European People's Party (Christian Democrats)
Spain,Carolina PUNSET,90110,Ciudadanos – Partido de la Ciudadanía,Group of the Alliance of Liberals and Democrats for Europe
Germany,Godelieve QUISTHOUDT-ROWOHL,1055,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Bulgaria,Emil RADEV,124850,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats)
Croatia,Jozo RADOŠ,112753,Hrvatska narodna stranka - liberalni demokrati,Group of the Alliance of Liberals and Democrats for Europe
Portugal,Paulo RANGEL,96903,Partido Social Democrata,Group of the European People's Party (Christian Democrats)
Romania,Laurenţiu REBEGA,124792,Independent,Europe of Nations and Freedom Group
Germany,Julia REDA,124816,Piratenpartei Deutschland,Group of the Greens/European Free Alliance
Luxembourg,Viviane REDING,1185,Parti chrétien social luxembourgeois,Group of the European People's Party (Christian Democrats)
Austria,Evelyn REGNER,96998,Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Julia REID,106202,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Austria,Michel REIMON,124935,Die Grünen - Die Grüne Alternative,Group of the Greens/European Free Alliance
Germany,Terry REINTKE,103381,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
Germany,Herbert REUL,28225,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
France,Christine REVAULT D'ALLONNES BONNEFOY,124287,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Portugal,Sofia RIBEIRO,124733,Partido Social Democrata,Group of the European People's Party (Christian Democrats)
Belgium,Frédérique RIES,4253,Mouvement Réformateur,Group of the Alliance of Liberals and Democrats for Europe
France,Dominique RIQUET,96885,Parti Radical - UDI,Group of the Alliance of Liberals and Democrats for Europe
France,Michèle RIVASI,96743,Europe Écologie,Group of the Greens/European Free Alliance
France,Robert ROCHEFORT,97022,Mouvement Démocrate,Group of the Alliance of Liberals and Democrats for Europe
Portugal,Liliana RODRIGUES,125099,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Portugal,Maria João RODRIGUES,124737,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Spain,Inmaculada RODRÍGUEZ-PIÑERO FERNÁNDEZ,125043,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Ulrike RODUST,93624,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Denmark,Jens ROHDE,96710,Det Radikale Venstre,Group of the Alliance of Liberals and Democrats for Europe
Belgium,Claude ROLIN,125107,Centre Démocrate Humaniste,Group of the European People's Party (Christian Democrats)
Lithuania,Bronis ROPĖ,125214,Lietuvos valstiečių ir žaliųjų sąjunga,Group of the Greens/European Free Alliance
Poland,Dariusz ROSATI,28394,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
France,Virginie ROZIÈRE,103845,Parti radical de gauche,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Portugal,Fernando RUAS,124730,Partido Social Democrata,Group of the European People's Party (Christian Democrats)
Austria,Paul RÜBIG,2278,Österreichische Volkspartei,Group of the European People's Party (Christian Democrats)
Finland,Pirkko RUOHONEN-LERNER,132366,Perussuomalaiset,European Conservatives and Reformists Group
France,Tokia SAÏFI,4345,Les Républicains,Group of the European People's Party (Christian Democrats)
Greece,Sofia SAKORAFA,125091,Independent,Confederal Group of the European United Left - Nordic Green Left
Spain,José Ignacio SALAFRANCA SÁNCHEZ-NEYRA,2002,Partido Popular,Group of the European People's Party (Christian Democrats)
Italy,Massimiliano SALINI,125670,Forza Italia,Group of the European People's Party (Christian Democrats)
Italy,Matteo SALVINI,28404,Lega Nord,Europe of Nations and Freedom Group
Spain,Lola SÁNCHEZ CALDENTEY,125035,PODEMOS,Confederal Group of the European United Left - Nordic Green Left
France,Anne SANDER,24594,Les Républicains,Group of the European People's Party (Christian Democrats)
Malta,Alfred SANT,124781,Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Portugal,Manuel dos SANTOS,21918,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Daciana Octavia SÂRBU,33989,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Netherlands,Judith SARGENTINI,96815,GroenLinks,Group of the Greens/European Free Alliance
Finland,Petri SARVAMAA,112611,Kansallinen Kokoomus,Group of the European People's Party (Christian Democrats)
Poland,Jacek SARYUSZ-WOLSKI,28297,Platforma Obywatelska,Non-attached Members
Italy,David-Maria SASSOLI,96864,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Lithuania,Algirdas SAUDARGAS,96696,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Group of the European People's Party (Christian Democrats)
Netherlands,Marietje SCHAAKE,96945,Democraten 66,Group of the Alliance of Liberals and Democrats for Europe
France,Jean-Luc SCHAFFHAUSER,124755,Rassemblement bleu Marine,Europe of Nations and Freedom Group
Denmark,Christel SCHALDEMOSE,37312,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Elly SCHLEIN,124804,-,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Austria,Claudia SCHMIDT,125016,Österreichische Volkspartei,Group of the European People's Party (Christian Democrats)
Germany,Helmut SCHOLZ,96646,DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left
Hungary,György SCHÖPFLIN,28135,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats)
Netherlands,Annie SCHREIJER-PIERIK,125030,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats)
Germany,Sven SCHULZE,124809,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Germany,Joachim SCHUSTER,124837,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Andreas SCHWAB,28223,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
United Kingdom,Molly SCOTT CATO,124942,Green Party,Group of the Greens/European Free Alliance
Czech Republic,Olga SEHNALOVÁ,96718,Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Sweden,Jasenko SELIMOVIC,134243,Liberalerna,Group of the Alliance of Liberals and Democrats for Europe
Spain,Maria Lidia SENRA RODRÍGUEZ,125049,Alternativa galega de esquerda en Europa,Confederal Group of the European United Left - Nordic Green Left
Italy,Remo SERNAGIOTTO,124794,Conservatori e Riformisti,European Conservatives and Reformists Group
Portugal,Ricardo SERRÃO SANTOS,124741,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Jill SEYMOUR,124950,United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group
Poland,Czesław Adam SIEKIERSKI,23787,Polskie Stronnictwo Ludowe,Group of the European People's Party (Christian Democrats)
Portugal,Pedro SILVA PEREIRA,124747,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Peter SIMON,96836,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Siôn SIMON,124948,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Birgit SIPPEL,96932,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Slovakia,Branislav ŠKRIPEK,124927,OBYČAJNÍ ĽUDIA,European Conservatives and Reformists Group
Croatia,Davor ŠKRLEC,124756,Independent,Group of the Greens/European Free Alliance
United Kingdom,Alyn SMITH,28508,Scottish National Party,Group of the Greens/European Free Alliance
Slovakia,Monika SMOLKOVÁ,96655,SMER-Sociálna demokracia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Csaba SÓGOR,39724,Uniunea Democrată Maghiară din România,Group of the European People's Party (Christian Democrats)
Czech Republic,Michaela ŠOJDROVÁ,124710,Křesťanská a demokratická unie - Československá strana lidová,Group of the European People's Party (Christian Democrats)
Spain,Jordi SOLÉ,185974,Esquerra Republicana de Catalunya,Group of the Greens/European Free Alliance
Slovenia,Igor ŠOLTES,125003,Lista dr. Igorja Šoltesa,Group of the Greens/European Free Alliance
Germany,Renate SOMMER,4282,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats)
Germany,Martin SONNEBORN,124834,Die PARTEI,Non-attached Members
Italy,Renato SORU,124860,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Italy,Barbara SPINELLI,124810,Independent,Confederal Group of the European United Left - Nordic Green Left
Greece,Maria SPYRAKI,125064,Nea Demokratia,Group of the European People's Party (Christian Democrats)
Belgium,Bart STAES,4751,Groen,Group of the Greens/European Free Alliance
Bulgaria,Sergei STANISHEV,124852,Bulgarian Socialist Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Germany,Joachim STARBATTY,124827,Liberal-Conservative Refomists,European Conservatives and Reformists Group
Slovakia,Ivan ŠTEFANEC,124929,Kresťanskodemokratické hnutie,Group of the European People's Party (Christian Democrats)
Germany,Jutta STEINRUCK,96831,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Czech Republic,Jaromír ŠTĚTINA,124702,TOP 09 a Starostové,Group of the European People's Party (Christian Democrats)
Belgium,Helga STEVENS,125105,Nieuw-Vlaamse Alliantie,European Conservatives and Reformists Group
United Kingdom,Catherine STIHLER,4545,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Theodor Dumitru STOLOJAN,39721,Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats)
Germany,Beatrix von STORCH,124825,Alternative für Deutschland,Europe of Freedom and Direct Democracy Group
Netherlands,Olaf STUGER,125028,Partij voor de Vrijheid,Europe of Nations and Freedom Group
Croatia,Dubravka ŠUICA,119434,Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats)
Slovakia,Richard SULÍK,124928,Sloboda a Solidarita,European Conservatives and Reformists Group
Slovenia,Patricija ŠULIN,125103,Slovenska demokratska stranka,Group of the European People's Party (Christian Democrats)
Czech Republic,Pavel SVOBODA,96272,Křesťanská a demokratická unie - Československá strana lidová,Group of the European People's Party (Christian Democrats)
United Kingdom,Kay SWINBURNE,96920,Conservative Party,European Conservatives and Reformists Group
Cyprus,Neoklis SYLIKIOTIS,124689,Progressive Party of Working People - Left - New Forces,Confederal Group of the European United Left - Nordic Green Left
Greece,Eleftherios SYNADINOS,125072,Popular Association – Golden Dawn,Non-attached Members
Hungary,József SZÁJER,23821,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats)
Hungary,Tibor SZANYI,124703,Magyar Szocialista Párt,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Poland,Adam SZEJNFELD,124890,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
Italy,Antonio TAJANI,2187,Forza Italia,Group of the European People's Party (Christian Democrats)
Finland,Hannu TAKKULA,28316,Suomen Keskusta,Group of the Alliance of Liberals and Democrats for Europe
Italy,Dario TAMBURRANO,124813,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
Romania,Claudiu Ciprian TĂNĂSESCU,96847,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Netherlands,Paul TANG,125020,Partij van de Arbeid,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
United Kingdom,Charles TANNOCK,4521,Conservative Party,European Conservatives and Reformists Group
Romania,Claudia ȚAPARDEL,124793,Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Belgium,Marc TARABELLA,29579,Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Estonia,Indrek TARAND,97136,Sõltumatu,Group of the Greens/European Free Alliance
United Kingdom,Keith TAYLOR,102931,Green Party,Group of the Greens/European Free Alliance
Czech Republic,Pavel TELIČKA,124706,ANO 2011,Group of the Alliance of Liberals and Democrats for Europe
Spain,Josep-Maria TERRICABRAS,124932,Esquerra Republicana de Catalunya,Group of the Greens/European Free Alliance
Cyprus,Eleni THEOCHAROUS,25704,Independent,European Conservatives and Reformists Group
Germany,Michael THEURER,96871,Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe
France,Isabelle THOMAS,114279,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Poland,Róża Gräfin von THUN UND HOHENSTEIN,96776,Platforma Obywatelska,Group of the European People's Party (Christian Democrats)
Italy,Patrizia TOIA,28340,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Hungary,László TŐKÉS,39726,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats)
Croatia,Ivica TOLIĆ,185340,Hrvatska demokratska zajednica,Group of the European People's Party (Christian Democrats)
Lithuania,Valdemar TOMAŠEVSKI,96697,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,European Conservatives and Reformists Group
Croatia,Ruža TOMAŠIĆ,119431,Hrvatska konzervativna stranka,European Conservatives and Reformists Group
Slovenia,Romana TOMC,125104,Slovenska demokratska stranka,Group of the European People's Party (Christian Democrats)
Estonia,Yana TOOM,124700,Eesti Keskerakond,Group of the Alliance of Liberals and Democrats for Europe
Spain,Estefanía TORRES MARTÍNEZ,131749,PODEMOS,Confederal Group of the European United Left - Nordic Green Left
Finland,Nils TORVALDS,114268,Svenska folkpartiet,Group of the Alliance of Liberals and Democrats for Europe
Czech Republic,Evžen TOŠENOVSKÝ,96713,Občanská demokratická strana,European Conservatives and Reformists Group
Germany,Ulrike TREBESIUS,124829,Liberal-Conservative Refomists,European Conservatives and Reformists Group
Spain,Ramon TREMOSA i BALCELLS,97203,Partit Demòcrata Europeu i Català,Group of the Alliance of Liberals and Democrats for Europe
France,Mylène TROSZCZYNSKI,124758,Front national,Europe of Nations and Freedom Group
Germany,Helga TRÜPEL,28240,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance
Romania,Mihai ŢURCANU,131750,Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats)
Luxembourg,Claude TURMES,4432,Déi Gréng - Les Verts,Group of the Greens/European Free Alliance
Poland,Kazimierz Michał UJAZDOWSKI,23791,Prawo i Sprawiedliwość,European Conservatives and Reformists Group
Hungary,István UJHELYI,124705,Magyar Szocialista Párt,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Sweden,Marita ULVSKOG,96672,Arbetarepartiet- Socialdemokraterna,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Romania,Traian UNGUREANU,96835,Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats)
Spain,Miguel URBÁN CRESPO,131507,PODEMOS,Confederal Group of the European United Left - Nordic Green Left
Spain,Ernest URTASUN,124972,Iniciativa per Catalunya Verds,Group of the Greens/European Free Alliance
Bulgaria,Vladimir URUTCHEV,38601,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats)
Lithuania,Viktor USPASKICH,96698,Darbo partija,Group of the Alliance of Liberals and Democrats for Europe
Latvia,Inese VAIDERE,28617,"Partija ""VIENOTĪBA""",Group of the European People's Party (Christian Democrats)
Slovenia,Ivo VAJGL,97019,DeSUS - Demokratična Stranka Upokojencev Slovenije,Group of the Alliance of Liberals and Democrats for Europe
Spain,Ramón Luis VALCÁRCEL SISO,125032,Partido Popular,Group of the European People's Party (Christian Democrats)
Romania,Adina-Ioana VĂLEAN,37324,Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats)
Spain,Elena VALENCIANO,4334,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Sweden,Bodil VALERO,124993,Miljöpartiet de gröna,Group of the Greens/European Free Alliance
Italy,Marco VALLI,124778,Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group
Spain,Ángela VALLINA,125050,Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left
Austria,Monika VANA,124934,Die Grünen - Die Grüne Alternative,Group of the Greens/European Free Alliance
Belgium,Anneleen VAN BOSSUYT,117491,Nieuw-Vlaamse Alliantie,European Conservatives and Reformists Group
Belgium,Kathleen VAN BREMPT,5729,Socialistische Partij.Anders,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
Belgium,Tom VANDENKENDELAERE,129164,Christen-Democratisch & Vlaams,Group of the European People's Party (Christian Democrats)
United Kingdom,Geoffrey VAN ORDEN,4513,Conservative Party,European Conservatives and Reformists Group
